EISSN,Title,JCR Abbr,ISO Abbr,Med Abbr
1556-0856,JOURNAL OF CAREER DEVELOPMENT,J CAREER DEV,J. Career Dev.,J Career Dev
1877-9603,Ticks and Tick-Borne Diseases,TICKS TICK-BORNE DIS,Ticks Tick-Borne Dis.,Ticks Tick Borne Dis
1949-3592,Cytoskeleton,CYTOSKELETON,Cytoskeleton,Cytoskeleton (Hoboken)
1867-1624,Marine Biodiversity,MAR BIODIVERS,Mar. Biodivers.,Mar Biodivers
1758-2946,Journal of Cheminformatics,J CHEMINFORMATICS,J. Cheminformatics,J Cheminform
2151-4658,ARTHRITIS CARE & RESEARCH,ARTHRIT CARE RES,Arthritis Care Res.,Arthritis Care Res (Hoboken)
1477-0385,WAR IN HISTORY,WAR HIST,War Hist.,War Hist
1468-2893,SOCIAL POLITICS,SOC POLIT,Soc. Polit.,Soc Polit
1663-2826,Hormone Research in Paediatrics,HORM RES PAEDIAT,Horm. Res. Paediatr.,Horm Res Paediatr
1895-1171,Advances in Cognitive Psychology,ADV COGN PSYCHOL,Adv. Cogn. Psychol.,Adv Cogn Psychol
1548-2456,LATIN AMERICAN POLITICS AND SOCIETY,LAT AM POLIT SOC,Latin Amer. Polit. Soc.,Lat Am Polit Soc
1467-9477,SCANDINAVIAN POLITICAL STUDIES,SCAND POLIT STUD,Scand. Polit. Stud.,Scan Polit Stud
1469-9877,Modern Italy,MOD ITALY,Mod. Italy,Mod Italy
1178-6930,OncoTargets and Therapy,ONCOTARGETS THER,OncoTargets Ther.,Onco Targets Ther
2090-0058,Journal of Ophthalmology,J OPHTHALMOL,J. Ophthalmol.,J Ophthalmol
2152-2669,Clinical Lymphoma Myeloma & Leukemia,CL LYMPH MYELOM LEUK,Clin. Lymphoma Myeloma Leuk.,Clin Lymphoma Myeloma Leuk
1942-7611,Drug Testing and Analysis,DRUG TEST ANAL,Drug Test. Anal.,Drug Test Anal
1756-2414,European Journal of Oral Implantology,EUR J ORAL IMPLANTOL,Eur. J. Oral Implant.,Eur J Oral Implantol
2092-7363,Allergy Asthma & Immunology Research,ALLERGY ASTHMA IMMUN,Allergy Asthma Immunol. Res.,Allergy Asthma Immunol Res
2005-1212,Gut and Liver,GUT LIVER,Gut Liver,Gut Liver
1934-2845,Evolutionary Biology,EVOL BIOL,Evol. Biol.,Evol Biol
2150-6701,COLLEGE & RESEARCH LIBRARIES,COLL RES LIBR,Coll. Res. Libr.,Coll Res Libr
1469-2910,Anthropology & Medicine,ANTHROPOL MED,Anthropol. Med.,Anthropol Med
1687-9694,Journal of Tropical Medicine,J TROP MED-US,J. Trop. Med.,J Trop Med
2385-2011,INTERVENTIONAL NEURORADIOLOGY,INTERV NEURORADIOL,Interv. Neuroradiol.,Interv Neuroradiol
2041-1014,Molecular Oral Microbiology,MOL ORAL MICROBIOL,Mol. Oral Microbiol.,Mol Oral Microbiol
1179-5549,Clinical Medicine Insights-Oncology,CLIN MED INSIGHTS-ON,Clin. Med. Insights-Oncol.,Clin Med Insights Oncol
1572-8404,BIOLOGY & PHILOSOPHY,BIOL PHILOS,Biol. Philos.,Biol Philos
1740-5610,European Journal of Developmental Psychology,EUR J DEV PSYCHOL,Eur. J. Dev. Psychol.,Eur J Dev Psychol
1610-3661,Environmental Chemistry Letters,ENVIRON CHEM LETT,Environ. Chem. Lett.,Environ Chem Lett
1871-2576,Applied Research in Quality of Life,APPL RES QUAL LIFE,Appl. Res. Qual. Life,Appl Res Qual Life
1557-1866,Food Biophysics,FOOD BIOPHYS,Food Biophys.,Food Biophys
1862-3514,Archives of Osteoporosis,ARCH OSTEOPOROS,Arch. Osteoporos.,Arch Osteoporos
1948-7193,ACS Chemical Neuroscience,ACS CHEM NEUROSCI,ACS Chem. Neurosci.,ACS Chem Neurosci
1874-8988,Child Indicators Research,CHILD INDIC RES,Child Indic. Res.,Child Indic Res
1939-8042,Journal of Pharmaceutical Innovation,J PHARM INNOV,J. Pharm. Innov.,J Pharm Innov
1871-4765,NanoEthics,NANOETHICS,NanoEthics,Nanoethics
1433-3058,NEURAL COMPUTING & APPLICATIONS,NEURAL COMPUT APPL,Neural Comput. Appl.,Neural Comput Appl
2041-9139,EvoDevo,EVODEVO,EvoDevo,Evodevo
1869-1447,Clinical Neuroradiology,CLIN NEURORADIOL,Clin. Neuroradiol.,Clin Neuroradiol
1099-1379,JOURNAL OF ORGANIZATIONAL BEHAVIOR,J ORGAN BEHAV,J. Organ. Behav.,J Organ Behav
1098-8963,SEMINARS IN INTERVENTIONAL RADIOLOGY,SEMIN INTERVENT RAD,Semin. Interv. Radiol.,Semin Intervent Radiol
N/A,Journal of Physical Chemistry Letters,J PHYS CHEM LETT,J. Phys. Chem. Lett.,J Phys Chem Lett
1879-2766,SOLID STATE COMMUNICATIONS,SOLID STATE COMMUN,Solid State Commun.,Solid State Commun
1867-0342,Food and Environmental Virology,FOOD ENVIRON VIROL,Food Environ. Virol.,Food Environ Virol
1536-0067,Seminars in Plastic Surgery,SEMIN PLAST SURG,Semin. Plast. Surg.,Semin Plast Surg
2005-3894,Annals of Dermatology,ANN DERMATOL,Ann. Dermatol.,Ann Dermatol
1089-7658,JOURNAL OF MATHEMATICAL PHYSICS,J MATH PHYS,J. Math. Phys.,J Math Phys
1727-9445,AJAR-African Journal of AIDS Research,AJAR-AFR J AIDS RES,AJAR-Afr. J. Aids Res.,Afr J AIDS Res
1552-3802,Clinical Case Studies,CLIN CASE STUD,Clin. Case Stud.,Clin Case Stud
1545-2069,Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,Annu. Rev. Ecol. Evol. Syst.,Annu Rev Ecol Evol Syst
1873-1759,PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES,PHYSICA E,Physica E,Physica E Low Dimens Syst Nanostruct
1932-927X,Journal of Clinical Sport Psychology,J CLIN SPORT PSYCHOL,J. Clin. Sport Psychol.,J Clin Sport Psychol
1867-1314,Probiotics and Antimicrobial Proteins,PROBIOTICS ANTIMICRO,Probiotics Antimicrob. Proteins,Probiotics Antimicrob Proteins
1572-8854,JOURNAL OF CHEMICAL CRYSTALLOGRAPHY,J CHEM CRYSTALLOGR,J. Chem. Crystallogr.,J Chem Crystallogr
1949-2723,Personality Disorders-Theory Research and Treatment,PERSONAL DISORD,Personal. Disord.,Personal Disord
1864-1385,International Journal of Conflict and Violence,INT J CONFL VIOLENCE,Int. J. Confl. Violence,Int J Conf Violence
1938-2022,Islets,ISLETS,Islets,Islets
2150-8097,Proceedings of the VLDB Endowment,PROC VLDB ENDOW,Proc. VLDB Endow.,Proceedings VLDB Endowment
1744-5035,Journal of Quantitative Linguistics,J QUANT LINGUIST,J. Quant. Linguist.,J Quant Linguist
1573-7152,Review of Economics of the Household,REV ECON HOUSEHOLD,Rev. Econ. Househ.,Rev Econ Househ
1083-6101,Journal of Computer-Mediated Communication,J COMPUT-MEDIAT COMM,J. Comput.-Mediat. Commun.,J Comput Mediat Commun
1873-7005,FLUID DYNAMICS RESEARCH,FLUID DYN RES,Fluid Dyn. Res.,Fluid Dyn Res
1096-0791,JOURNAL OF HOUSING ECONOMICS,J HOUS ECON,J. Hous. Econ.,J Hous Econ
1432-0681,ARCHIVE OF APPLIED MECHANICS,ARCH APPL MECH,Arch. Appl. Mech.,Arch Appl Mech
1872-9053,APPLIED CLAY SCIENCE,APPL CLAY SCI,Appl. Clay Sci.,Appl Clay Sci
1935-1062,EDUCATIONAL EVALUATION AND POLICY ANALYSIS,EDUC EVAL POLICY AN,Educ. Eval. Policy Anal.,Educ Eval Policy Anal
1469-8056,MACROECONOMIC DYNAMICS,MACROECON DYN,Macroecon. Dyn.,Macroecon Dyn
1687-5877,International Journal of Antennas and Propagation,INT J ANTENN PROPAG,Int. J. Antennas Propag.,Int J Antennas Propag
1096-603X,APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS,APPL COMPUT HARMON A,Appl. Comput. Harmon. Anal.,Appl Comput Harmon Anal
1520-0485,JOURNAL OF PHYSICAL OCEANOGRAPHY,J PHYS OCEANOGR,J. Phys. Oceanogr.,J Phys Oceanogr
1875-5879,Journal of Informetrics,J INFORMETR,J. Informetr.,J Informetr
2152-4998,Cellular Reprogramming,CELL REPROGRAM,Cell. Reprogramm.,Cell Reprogram
2041-1723,Nature Communications,NAT COMMUN,Nat. Commun.,Nat Commun
1468-0491,GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS,GOVERNANCE,Governance-Int. J. Policy Adm. I.,Governance (Oxf)
2041-2657,Briefings in Functional Genomics,BRIEF FUNCT GENOMICS,Brief. Funct. Genomics,Brief Funct Genomics
1573-1863,Language Policy,LANG POLICY-NETH,Lang. Policy,Lang Policy
1661-8777,Molecular Syndromology,MOL SYNDROMOL,Mol. Syndromol.,Mol Syndromol
1878-8769,World Neurosurgery,WORLD NEUROSURG,World Neurosurg.,World Neurosurg
1934-5739,Journal of Research on Educational Effectiveness,J RES EDUC EFF,J. Res. Educ. Eff.,J Res Educ Eff
1868-6982,Journal of Hepato-Biliary-Pancreatic Sciences,J HEPATO-BIL-PAN SCI,J. Hepato-Biliary-Pancreat. Sci.,J Hepatobiliary Pancreat Sci
2072-6694,Cancers,CANCERS,Cancers,Cancers (Basel)
1748-8966,Criminology & Criminal Justice,CRIMINOL CRIM JUSTIC,Crimnol. Crim. Justice,Criminol Crim Justice
1750-192X,Epigenomics,EPIGENOMICS-UK,Epigenomics,Epigenomics
1552-6828,Men and Masculinities,MEN MASC,Men Masc.,Men Masc
1549-7860,HUMAN AND ECOLOGICAL RISK ASSESSMENT,HUM ECOL RISK ASSESS,Hum. Ecol. Risk Assess.,Hum Ecol Risk Assess
1532-0634,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,CONCURR COMP-PRACT E,Concurr. Comput.-Pract. Exp.,Concurr Comput
1836-9561,Journal of Physiotherapy,J PHYSIOTHER,J. Physiother.,J Physiother
1868-8535,Mindfulness,MINDFULNESS,Mindfulness,Mindfulness (N Y)
1532-2998,STRESS AND HEALTH,STRESS HEALTH,Stress Health,Stress Health
1748-2631,International Journal of Qualitative Studies on Health and Well-Being,INT J QUAL STUD HEAL,Int. J. Qual. Stud. Health Well-Being,Int J Qual Stud Health Well-being
1757-6512,Stem Cell Research & Therapy,STEM CELL RES THER,Stem Cell Res. Ther.,Stem Cell Res Ther
1520-5754,SEPARATION SCIENCE AND TECHNOLOGY,SEP SCI TECHNOL,Sep. Sci. Technol.,Sep Sci Technol
0976-4062,Pharmacognosy Magazine,PHARMACOGN MAG,Pharmacogn. Mag.,Pharmacogn Mag
2093-0887,Journal of Neurogastroenterology and Motility,J NEUROGASTROENTEROL,J. Neurogastroenterol. Motil.,J Neurogastroenterol Motil
1869-1889,Science China-Life Sciences,SCI CHINA LIFE SCI,Sci. China-Life Sci.,Sci China Life Sci
1663-4365,Frontiers in Aging Neuroscience,FRONT AGING NEUROSCI,Front. Aging Neurosci.,Front Aging Neurosci
1758-8359,Therapeutic Advances in Medical Oncology,THER ADV MED ONCOL,Ther. Adv. Med. Oncol.,Ther Adv Med Oncol
1879-730X,European Annals of Otorhinolaryngology-Head and Neck Diseases,EUR ANN OTORHINOLARY,Eur. Ann. Otorhinolaryngol.-Head Neck Dis.,Eur Ann Otorhinolaryngol Head Neck Dis
2093-2286,Journal of Periodontal and Implant Science,J PERIODONTAL IMPLAN,J. Periodontal Implant Sci.,J Periodontal Implant Sci
2093-0569,Korean Journal of Pain,KOREAN J PAIN,Korean J. Pain,Korean J Pain
1179-1349,Clinical Epidemiology,CLIN EPIDEMIOL,Clin. Epidemiol.,Clin Epidemiol
1875-5348,CURRENT ORGANIC CHEMISTRY,CURR ORG CHEM,Curr. Org. Chem.,Curr Org Chem
1743-7202,Health Psychology Review,HEALTH PSYCHOL REV,Health Psychol. Rev.,Health Psychol Rev
1872-762X,THERMOCHIMICA ACTA,THERMOCHIM ACTA,Thermochim. Acta,Thermochim Acta
1529-8876,Self and Identity,SELF IDENTITY,Self Identity,Self Identity
1868-601X,Translational Stroke Research,TRANSL STROKE RES,Transl. Stroke Res.,Transl Stroke Res
2072-6651,Toxins,TOXINS,Toxins,Toxins (Basel)
N/A,ACS Medicinal Chemistry Letters,ACS MED CHEM LETT,ACS Med. Chem. Lett.,ACS Med Chem Lett
1873-4537,PUBLIC RELATIONS REVIEW,PUBLIC RELAT REV,Public Relat. Rev.,Public Relat Rev
1936-4954,SIAM Journal on Imaging Sciences,SIAM J IMAGING SCI,SIAM J. Imaging Sci.,SIAM J Imaging Sci
1549-6511,AMERICAN JOURNAL OF EDUCATION,AM J EDUC,Am. J. Educ.,Am J Educ (Chic Ill)
1947-6043,Cartilage,CARTILAGE,Cartilage,Cartilage
1869-4098,Cardiovascular Engineering and Technology,CARDIOVASC ENG TECHN,Cardiovasc. Eng. Technol.,Cardiovasc Eng Technol
1423-0070,INDOOR AND BUILT ENVIRONMENT,INDOOR BUILT ENVIRON,Indoor Built Environ.,Indoor Built Environ
1949-0984,Gut Microbes,GUT MICROBES,Gut Microbes,Gut Microbes
2152-2723,Cyberpsychology Behavior and Social Networking,CYBERPSYCH BEH SOC N,Cyberpsychology Behav. Soc. Netw.,Cyberpsychol Behav Soc Netw
1949-1042,Nucleus,NUCLEUS-PHILA,Nucleus,Nucleus
1878-7886,Journal of Visceral Surgery,J VISC SURG,J. Visc. Surg.,J Visc Surg
1879-1573,JOURNAL OF MARINE SYSTEMS,J MARINE SYST,J. Mar. Syst.,J Mar Syst
1939-151X,Psychology of Men & Masculinity,PSYCHOL MEN MASCULIN,Psychol. Men Masculinity,Psychol Men Masc
2155-384X,Clinical and Translational Gastroenterology,CLIN TRANSL GASTROEN,Clin. Transl. Gastroenterol.,Clin Transl Gastroenterol
1572-8145,JOURNAL OF INTELLIGENT MANUFACTURING,J INTELL MANUF,J. Intell. Manuf.,J Intell Manuf
1572-980X,PHYTOCHEMISTRY REVIEWS,PHYTOCHEM REV,Phytochem. Rev.,Phytochem Rev
1521-3935,MACROMOLECULAR CHEMISTRY AND PHYSICS,MACROMOL CHEM PHYS,Macromol. Chem. Phys.,Macromol Chem Phys
2151-2485,Animal Cells and Systems,ANIM CELLS SYST,Anim. Cells Syst.,Anim Cells Syst (Seoul)
2150-5608,Virulence,VIRULENCE,Virulence,Virulence
1538-4616,JOURNAL OF MONEY CREDIT AND BANKING,J MONEY CREDIT BANK,J. Money Credit Bank.,J Money Credit Bank
1811-5217,Elements,ELEMENTS,Elements,Elements (Que)
1477-4593,Journal of Semantics,J SEMANT,J. Semant.,J Semant
1556-276X,Nanoscale Research Letters,NANOSCALE RES LETT,Nanoscale Res. Lett.,Nanoscale Res Lett
1792-1015,Experimental and Therapeutic Medicine,EXP THER MED,Exp. Ther. Med.,Exp Ther Med
1878-7517,Journal of Veterinary Behavior-Clinical Applications and Research,J VET BEHAV,J. Vet. Behav.-Clin. Appl. Res.,J Vet Behav
1433-2825,International Journal on Document Analysis and Recognition,INT J DOC ANAL RECOG,Int. J. Doc. Anal. Recognit.,Int J Doc Anal Recognit
1308-5735,Journal of Clinical Research in Pediatric Endocrinology,J CLIN RES PEDIATR E,J. Clin Res. Pediatr. Endocrinol.,J Clin Res Pediatr Endocrinol
1866-9859,Language and Cognition,LANG COGN,Lang. Cogn.,Lang Cogn
1792-1082,Oncology Letters,ONCOL LETT,Oncol. Lett.,Oncol Lett
2161-430X,JOURNALISM & MASS COMMUNICATION QUARTERLY,J MASS COMMUN Q,Journal. Mass Commun. Q.,Journal Mass Commun Q
1873-5193,PHYSICS AND CHEMISTRY OF THE EARTH,PHYS CHEM EARTH,Phys. Chem. Earth,Phys Chem Earth (2002)
1475-5890,FISCAL STUDIES,FISC STUD,Fisc. Stud.,Fisc Stud
1555-6107,POLYMER SCIENCE SERIES A,POLYM SCI SER A+,Polym. Sci. Ser. A,Polym Sci Ser A Chem Phys
1938-2839,INTERNATIONAL GEOLOGY REVIEW,INT GEOL REV,Int. Geol. Rev.,Int Geol Rev
1476-4989,POLITICAL ANALYSIS,POLIT ANAL,Polit. Anal.,Polit Anal
1029-4937,OPTIMIZATION METHODS & SOFTWARE,OPTIM METHOD SOFTW,Optim. Method Softw.,Optim Methods Softw
1938-8934,Journal of Diversity in Higher Education,J DIVERS HIGH EDUC,J. Divers. High. Educ.,J Divers High Educ
1572-9567,INTERNATIONAL JOURNAL OF THERMOPHYSICS,INT J THERMOPHYS,Int. J. Thermophys.,Int J Thermophys
1869-1870,Science China-Chemistry,SCI CHINA CHEM,Sci. China-Chem.,Sci China Chem
1995-8692,Journal of Eye Movement Research,J EYE MOVEMENT RES,J. Eye Mov. Res.,J Eye Mov Res
1873-2348,POLYMER TESTING,POLYM TEST,Polym. Test,Polym Test
1573-0484,JOURNAL OF SUPERCOMPUTING,J SUPERCOMPUT,J. Supercomput.,J Supercomput
1532-4176,Sequential Analysis-Design Methods and Applications,SEQUENTIAL ANAL,Seq. Anal.,Seq Anal
1552-6720,Homicide Studies,HOMICIDE STUD,Homicide Stud.,Homicide Stud
2000-6764,Journal of Plastic Surgery and Hand Surgery,J PLAST SURG HAND SU,J. Plast. Surg. Hand Surg.,J Plast Surg Hand Surg
1601-5215,ACTA NEUROPSYCHIATRICA,ACTA NEUROPSYCHIATR,Acta Neuropsychiatr.,Acta Neuropsychiatr
1991-7139,JOURNAL OF COMPUTATIONAL MATHEMATICS,J COMPUT MATH,J. Comput. Math.,J Comput Math
1424-8247,Pharmaceuticals,PHARMACEUTICALS-BASE,Pharmaceuticals,Pharmaceuticals (Basel)
1745-6592,GROUND WATER MONITORING AND REMEDIATION,GROUND WATER MONIT R,Ground Water Monit. Remediat.,Ground Water Monit Remediat
1868-8500,Hormones & Cancer,HORM CANCER-US,Horm. Cancer,Horm Cancer
1095-4333,DIGITAL SIGNAL PROCESSING,DIGIT SIGNAL PROCESS,Digit. Signal Prog.,Digit Signal Process
1530-2415,Analyses of Social Issues and Public Policy,ANAL SOC ISS PUB POL,Anal. Soc. Issues Public Policy,Anal Soc Issues Public Policy
1432-0835,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,CALC VAR PARTIAL DIF,Calc. Var. Partial Differ. Equ.,Calc Var Partial Differ Equ
1546-427X,COMPUTER ANIMATION AND VIRTUAL WORLDS,COMPUT ANIMAT VIRT W,Comput. Animat. Virtual Worlds,Comput Animat Virtual Worlds
1932-1872,Statistical Analysis and Data Mining,STAT ANAL DATA MIN,Stat. Anal. Data Min.,Stat Anal Data Min
1467-842X,AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS,AUST NZ J STAT,Aust. N. Z. J. Stat.,Aust N Z J Stat
1552-3896,EDUCATIONAL POLICY,EDUC POLICY,Educ. Policy,Educ Policy (Los Altos Calif)
1368-423X,Econometrics Journal,ECONOMET J,Econom. J.,Econom J
1613-981X,Statistical Methods and Applications,STAT METHOD APPL-GER,Stat. Method. Appl.,Stat Methods Appt
2150-7511,mBio,MBIO,mBio,mBio
1029-4910,STATISTICS,STATISTICS-ABINGDON,Statistics,Statistics (Ber)
1573-7675,JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,J INTELL INF SYST,J. Intell. Inf. Syst.,J Intell Inf Syst
1752-7163,Journal of Breath Research,J BREATH RES,J. Breath Res.,J Breath Res
2151-2124,JOURNAL OF PSYCHOPHYSIOLOGY,J PSYCHOPHYSIOL,J. Psychophysiol.,J Psychophysiol
1757-5672,LUTS-Lower Urinary Tract Symptoms,LUTS,LUTS,Low Urin Tract Symptoms
1745-1361,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,IEICE T INF SYST,IEICE Trans. Inf. Syst.,IEICE Trans Inf Syst
1860-4749,JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,J COMPUT SCI TECH-CH,J. Comput. Sci. Technol.,J Comput Sci Technol
1741-4857,LEARNED PUBLISHING,LEARN PUBL,Learn. Publ.,Learn Publ
1600-0617,European Respiratory Review,EUR RESPIR REV,Eur. Respir. Rev.,Eur Respir Rev
2041-1480,Journal of Biomedical Semantics,J BIOMED SEMANT,J. Biomed. Semant.,J Biomed Semantics
1836-7399,Australian Journal of Primary Health,AUST J PRIM HEALTH,Aust. J. Prim. Health.,Aust J Prim Health
1758-5090,Biofabrication,BIOFABRICATION,Biofabrication,Biofabrication
1943-9407,Journal of Development Effectiveness,J DEV EFFECT,j Dev. Eff.,J Dev Effect
1726-4189,Biogeosciences,BIOGEOSCIENCES,Biogeosciences,Biogeosciences
1744-1609,International Journal of Evidence-Based Healthcare,INT J EVID-BASED HEA,Int. J. Evid.-Based Healthc.,Int J Evid Based Healthc
2040-3372,Nanoscale,NANOSCALE,Nanoscale,Nanoscale
1748-3743,International Journal of Older People Nursing,INT J OLDER PEOPLE N,Int. J. Older People Nurs.,Int J Older People Nurs
2049-3169,International Journal of Oral Science,INT J ORAL SCI,Int. J. Oral Sci.,Int J Oral Sci
1474-7049,Evolutionary Psychology,EVOL PSYCHOL-US,Evol. Psychol.,Evol Psychol
2040-2392,Molecular Autism,MOL AUTISM,Mol. Autism,Mol Autism
1522-2624,JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,J PLANT NUTR SOIL SC,J. Plant Nutr. Soil Sci.,J Plant Nutr Soil Sci (1999)
1837-9664,Journal of Cancer,J CANCER,J. Cancer,J Cancer
1472-6033,CRITICAL ASIAN STUDIES,CRIT ASIAN STUD,Crit. Asian Stud,Crit Asian Stud
1876-035X,Journal of Infection and Public Health,J INFECT PUBLIC HEAL,J. Infect. Public Health,J Infect Public Health
1469-9583,JOURNAL OF MODERN ITALIAN STUDIES,J MOD ITAL STUD,J. Mod. Ital. Stud.,J Mod Ital Stud
2041-4889,Cell Death & Disease,CELL DEATH DIS,Cell Death Dis.,Cell Death Dis
0974-0449,Indian Journal of Hematology and Blood Transfusion,INDIAN J HEMATOL BLO,Indian J. Hematol. Blood Transfus.,Indian J Hematol Blood Transfus
0975-8402,JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE,J FOOD SCI TECH MYS,J. Food Sci. Technol.-Mysore,J Food Sci Technol
1089-7674,PHYSICS OF PLASMAS,PHYS PLASMAS,Phys. Plasmas,Phys Plasmas
1661-3805,Breast Care,BREAST CARE,Breast Care,Breast Care (Basel)
1873-7331,EUROPEAN JOURNAL OF AGRONOMY,EUR J AGRON,Eur. J. Agron.,Eur J Agron
1360-0494,CONNECTION SCIENCE,CONNECT SCI,Connect. Sci.,Conn Sci
1558-0865,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,IEEE T CONTR SYST T,IEEE Trans. Control Syst. Technol.,IEEE Trans Control Syst Technol
1528-8943,JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME,J HEAT TRANS-T ASME,J. Heat Transf.-Trans. ASME,J Heat Transfer
1573-7624,GEOINFORMATICA,GEOINFORMATICA,Geoinformatica,Geoinformatica
1432-1181,HEAT AND MASS TRANSFER,HEAT MASS TRANSFER,Heat Mass Transf.,Heat Mass Transf
1528-8897,JOURNAL OF TRIBOLOGY-TRANSACTIONS OF THE ASME,J TRIBOL-T ASME,J. Tribol.-Trans. ASME,J Tribol
1557-7295,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,ACM Trans. Math. Softw.,ACM Trans Math Softw
1556-4991,Victims & Offenders,VICTIMS OFFENDERS,Victims Offenders,Vict Offender
2038-3312,Updates in Surgery,UPDATES SURG,Updates Surg.,Updates Surg
1469-9680,Journal of Youth Studies,J YOUTH STUD,J. Youth Stud.,J Youth Stud
1040-2608,Advances in Life Course Research,ADV LIFE COURSE RES,Adv. Life Course Res.,Adv Life Course Res
1532-6934,CREATIVITY RESEARCH JOURNAL,CREATIVITY RES J,Creativ. Res. J.,Creat Res J
1687-5281,EURASIP Journal on Image and Video Processing,EURASIP J IMAGE VIDE,EURASIP J. Image Video Process.,EURASIP J Image Video Process
1948-1993,Asian American Journal of Psychology,ASIAN AM J PSYCHOL,Asian Am. J. Psychol.,Asian Am J Psychol
1568-5527,ADVANCED POWDER TECHNOLOGY,ADV POWDER TECHNOL,Adv. Powder Technol.,Adv Powder Technol
2154-3992,JOURNAL OF EARLY INTERVENTION,J EARLY INTERVENTION,J. Early Interv.,J Early Interv
1752-1688,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,J AM WATER RESOUR AS,J. Am. Water Resour. Assoc.,J Am Water Resour Assoc
1548-5757,IEEE Antennas and Wireless Propagation Letters,IEEE ANTENN WIREL PR,IEEE Antennas Wirel. Propag. Lett.,IEEE Antennas Wirel Propag Lett
1999-4923,Pharmaceutics,PHARMACEUTICS,Pharmaceutics,Pharmaceutics
1948-5204,World Journal of Gastrointestinal Oncology,WORLD J GASTRO ONCOL,World J. Gastrointest. Oncol.,World J Gastrointest Oncol
1520-8516,JOURNAL OF RHEOLOGY,J RHEOL,J. Rheol.,J Rheol (N Y N Y)
1533-4295,STRENGTH AND CONDITIONING JOURNAL,STRENGTH COND J,Strength Cond. J.,Strength Cond J
1552-6526,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,J LANG SOC PSYCHOL,J. Lang. Soc. Psychol.,J Lang Soc Psychol
1558-3783,IEEE Transactions on Automation Science and Engineering,IEEE T AUTOM SCI ENG,IEEE Trans. Autom. Sci. Eng.,IEEE Trans Autom Sci Eng
1948-9366,World Journal of Gastrointestinal Surgery,WORLD J GASTRO SURG,World J. Gastrointest. Surg.,World J Gastrointest Surg
1941-0921,Sports Health-A Multidisciplinary Approach,SPORTS HEALTH,Sports Health,Sports Health
1687-9678,Stem Cells International,STEM CELLS INT,Stem Cells Int.,Stem Cells Int
1029-0265,INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS,INT J COMPUT MATH,Int. J. Comput. Math.,Int J Comput Math
1759-7331,Quantitative Economics,QUANT ECON,Quant. Econ.,Quant Econom
1572-9435,TRANSPORTATION,TRANSPORTATION,Transportation,Transportation (Amst)
2090-0392,International Journal of Hypertension,INT J HYPERTENS,Int. J. Hypertens.,Int J Hypertens
2042-0080,Parkinsons Disease,PARKINSONS DIS-US,Parkinsons Dis.,Parkinsons Dis
1435-5566,Cognition Technology & Work,COGN TECHNOL WORK,Cogn. Technol. Work,Cogn Technol Work
1869-6961,Diabetes Therapy,DIABETES THER,Diabetes Ther.,Diabetes Ther
1756-2589,Journal of Family Theory & Review,J FAM THEOR REV,J. Fam. Theory. Rev.,J Fam Theory Rev
1948-5514,Social Psychological and Personality Science,SOC PSYCHOL PERS SCI,Soc. Psychol. Personal Sci.,Soc Psychol Personal Sci
1432-0630,APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,APPL PHYS A-MATER,Appl. Phys. A-Mater. Sci. Process.,Appl Phys A Mater Sci Process
1539-0756,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,Rev. Mod. Phys.,Rev Mod Phys
1744-7429,BIOTROPICA,BIOTROPICA,Biotropica,Biotropica
1872-9681,APPLIED SOFT COMPUTING,APPL SOFT COMPUT,Appl. Soft. Comput.,Appl Soft Comput
1179-1608,Nature and Science of Sleep,NAT SCI SLEEP,NAT. SCI. SLEEP,Nat Sci Sleep
1943-0647,IEEE Photonics Journal,IEEE PHOTONICS J,IEEE Photonics J.,IEEE Photonics J
1872-681X,DISCRETE MATHEMATICS,DISCRETE MATH,Discret. Math.,Discrete Math
1879-2537,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,ROBOT CIM-INT MANUF,Robot. Comput.-Integr. Manuf.,Robot Comput Integr Manuf
